NO,DATE,PRICE (PHP per kg),MANUFACTURING PARTNER,COCONUT VARIETY,CLIMATE SEASON,HARVEST SEASON,QUANTITY SOLD
251,2/11/2017,,CARGILL,,DRY,,
252,2/11/2017,,PHIDCO,,DRY,,
253,2/12/2017,,RGS,,DRY,,
254,2/12/2017,,LASWERTE,,DRY,,
255,2/12/2017,,BANGAYAN,,DRY,,
256,2/12/2017,,ASIACOM,,DRY,,
257,2/12/2017,,CARGILL,,DRY,,
258,2/12/2017,,PHIDCO,,DRY,,
259,2/13/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,27.4
260,2/13/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,24.3
261,2/13/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,26.8
262,2/13/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,29.5
263,2/13/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,23.9
264,2/13/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,24.3
265,2/14/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,26.7
266,2/14/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,29.4
267,2/14/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,23.7
268,2/14/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,25.9
269,2/14/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,24.4
270,2/14/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,24.5
271,2/15/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,24.5
272,2/15/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,26.6
273,2/15/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,27.6
274,2/15/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,28.0
275,2/15/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,27.4
276,2/15/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,29.5
277,2/16/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,28.3
278,2/16/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,25.4
279,2/16/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,28.4
280,2/16/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,28.5
281,2/16/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,26.3
282,2/16/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,26.0
283,2/17/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,27.7
284,2/17/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,25.0
285,2/17/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,27.1
286,2/17/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,27.6
287,2/17/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,24.7
288,2/17/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,26.9
289,2/18/2017,,RGS,,DRY,,
290,2/18/2017,,LASWERTE,,DRY,,
291,2/18/2017,,BANGAYAN,,DRY,,
292,2/18/2017,,ASIACOM,,DRY,,
293,2/18/2017,,CARGILL,,DRY,,
294,2/18/2017,,PHIDCO,,DRY,,
295,2/19/2017,,RGS,,DRY,,
296,2/19/2017,,LASWERTE,,DRY,,
297,2/19/2017,,BANGAYAN,,DRY,,
298,2/19/2017,,ASIACOM,,DRY,,
299,2/19/2017,,CARGILL,,DRY,,
300,2/19/2017,,PHIDCO,,DRY,,
301,2/20/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,26.1
302,2/20/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,28.0
303,2/20/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,26.1
304,2/20/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,24.1
305,2/20/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,27.7
306,2/20/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,29.1
307,2/21/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,26.8
308,2/21/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,24.2
309,2/21/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,24.3
310,2/21/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,28.4
311,2/21/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,24.5
312,2/21/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,29.3
313,2/22/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,24.7
314,2/22/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,25.9
315,2/22/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,28.3
316,2/22/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,24.8
317,2/22/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,24.9
318,2/22/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,28.3
319,2/23/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,28.9
320,2/23/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,28.6
321,2/23/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,28.8
